token_volume,semantic_redundancy,distractor_density,structural_coherence,freshness_spread,observed_loss
89.0792,89.3447,51.8858,31.5929,77.2012,0.6833
66.1661,37.3658,9.4467,74.6790,26.2461,0.3414
93.6813,24.0971,12.2758,83.1113,15.3284,0.4544
17.9268,59.9383,87.4562,19.6435,31.0324,0.4461
77.7405,97.1826,50.0741,14.3898,1.3936,0.5302
22.9656,13.1822,67.7659,12.1833,50.6330,0.3166
69.4262,58.1117,19.9776,80.4125,71.5407,0.6403
73.8984,13.1058,12.3754,92.7563,39.7578,0.4731
30.0949,48.8584,66.2864,95.5623,28.6446,0.4731
92.4808,2.4859,55.5198,63.3975,10.5897,0.3782
14.0340,41.9114,96.6232,59.6043,93.3023,0.6671
80.4361,46.7382,78.4763,1.7837,10.9144,0.4965
82.9429,79.6817,23.2641,53.0770,60.6016,0.6153
86.7739,60.3107,41.2572,37.4184,42.5882,0.6115
65.1931,86.7491,45.3897,24.7840,23.6662,0.5444
74.6014,81.6569,10.5278,6.6559,59.4434,0.5000
14.6173,82.4664,31.0335,14.3872,92.0970,0.4236
16.5532,28.4720,15.3613,11.5490,2.1148,0.2347
5.5395,17.4641,5.3382,59.1144,68.0715,0.3379
39.3630,31.7991,50.4526,87.5005,85.1132,0.5692
4.3475,18.1498,23.6745,24.9388,57.1233,0.2231
41.6262,4.9254,37.3614,52.3753,10.1672,0.3058
83.3459,5.1962,92.4842,9.9113,84.3575,0.4670
90.2653,97.9571,80.2026,77.9478,64.2483,0.8562
77.8996,13.4552,53.6068,51.4223,85.7572,0.5166
46.2799,38.5089,63.9563,26.6463,13.9768,0.3973
47.7877,41.6889,23.2570,36.7512,36.6392,0.3462
32.7496,37.9464,68.5743,29.6876,94.8858,0.5145
91.6348,48.0910,32.8361,53.5435,84.8560,0.5841
65.2587,80.4392,53.2722,63.2918,28.8156,0.5741
73.4893,20.2405,69.4798,86.0719,13.2103,0.6195
61.4380,9.5096,72.5716,8.4493,93.5940,0.5604
13.7408,95.8880,80.0884,59.3682,78.2624,0.6724
79.5115,94.6027,25.3383,59.0076,9.5049,0.5347
61.6166,17.1291,56.4951,57.2431,46.5985,0.5204
52.2632,76.3923,79.9245,49.2153,59.9593,0.6920
93.1236,11.9734,11.7104,8.7709,65.7863,0.3412
41.8608,77.4321,67.1231,33.3638,89.8367,0.6154
76.2532,27.0535,36.4192,31.4440,15.7612,0.2828
14.7783,93.6127,43.7904,38.3320,72.9686,0.5831
55.2993,93.6140,78.0301,47.9370,37.6359,0.7283
98.6632,71.7760,95.1195,11.8479,85.0534,0.7289
63.7074,12.1922,58.8258,68.6096,1.2303,0.3029
45.4318,82.5400,29.5359,45.8548,44.2314,0.5256
30.1927,91.8442,78.1294,11.0588,99.7035,0.5767
87.9200,28.3908,83.6897,10.6420,99.9105,0.5879
66.5685,65.0125,9.0441,89.7033,2.9000,0.4978
24.0828,14.3022,77.6768,19.8204,91.0638,0.4666
65.6269,3.6163,0.5430,5.1658,60.5925,0.2467
80.1482,23.8553,84.9409,5.7232,80.0964,0.5170
92.7795,77.2108,69.8121,83.7980,4.0151,0.6615
20.1782,12.4924,50.4531,74.5188,63.0012,0.4208
85.1131,15.5213,73.4621,19.3041,27.0759,0.3855
70.9905,98.0205,61.1544,5.4500,61.6309,0.5779
4.2351,88.4146,70.9578,17.3128,9.1721,0.3972
18.3533,98.0027,45.8561,78.4081,63.6408,0.5996
57.2413,14.5130,94.6024,30.1343,57.8017,0.4379
69.9776,64.9233,94.0594,14.8439,50.8353,0.6387
40.4034,47.4169,11.9218,13.4095,27.8076,0.1450
30.4705,42.7903,61.0988,63.4629,41.1811,0.4557
40.8783,21.7629,58.8306,31.7041,3.6060,0.2826
41.8400,47.4133,22.5593,57.2458,56.5772,0.4587
70.2002,64.7948,65.2433,31.6214,78.7432,0.6493
54.9144,43.1418,62.6012,36.0657,51.2739,0.5523
73.6706,88.6403,92.1057,50.3633,52.0275,0.6780
79.9870,31.4451,83.7382,49.4142,11.5857,0.5417
7.2059,84.1993,5.5568,28.0611,33.4130,0.3267
17.2994,31.3893,74.2693,1.4683,82.7173,0.3287
85.6548,37.2262,15.3613,60.0840,11.9673,0.5156
36.4919,95.8429,99.5464,77.2105,31.0962,0.6084
68.7665,70.5406,38.7842,64.0889,1.0728,0.5075
20.9058,52.5088,16.3751,16.5907,83.6304,0.3995
98.9133,55.5969,83.9070,99.0322,14.1596,0.7170
44.8246,39.2573,8.0049,75.5330,43.3779,0.3973
46.9327,15.0673,18.0927,90.7104,4.4649,0.3919
23.2852,29.2059,49.0198,58.6445,49.3290,0.3410
8.4115,24.3667,84.3588,63.7589,64.9149,0.4883
67.0203,76.2903,5.8108,36.6608,53.9527,0.4513
33.8456,84.4479,48.2573,76.8628,85.2016,0.6234
50.4791,90.9552,58.7124,85.0274,34.0591,0.6599
49.8817,53.1411,10.4980,39.8553,91.7338,0.5441
63.0832,17.7507,33.8856,19.1603,2.4823,0.2556
92.7460,44.8207,30.7535,59.8477,0.7314,0.4968
27.8022,70.3033,63.3770,98.1806,62.0358,0.6459
47.7506,76.1433,90.3328,72.0696,96.3211,0.7206
78.2005,86.6801,11.4104,73.2414,44.0089,0.5742
55.3104,65.4102,96.9815,98.4578,28.8228,0.6750
73.3753,74.9984,34.6493,12.3870,4.0947,0.3642
77.7343,48.9700,98.5540,46.4973,97.7917,0.7605
41.1576,79.3682,8.4819,55.5462,80.2060,0.5413
92.4702,82.2583,3.6971,37.2702,4.8698,0.3616
10.9282,67.5306,71.3258,77.3721,86.5457,0.5448
73.9431,80.0872,4.8964,23.4535,62.1898,0.5104
85.8125,0.4500,51.4629,67.7287,2.9607,0.3761
40.1356,89.5635,67.1613,23.7658,85.2781,0.6269
34.8031,85.3345,29.8944,59.0320,39.6940,0.5366
27.4825,88.6558,18.7594,8.4812,34.1927,0.2916
71.7639,80.7432,99.8743,29.6362,40.7942,0.5750
13.6821,57.4872,99.7580,70.0881,59.5213,0.6848
39.2369,91.5299,49.6917,13.4367,36.5378,0.4784
6.7167,20.1979,1.7669,45.3280,63.4540,0.2540
34.3292,42.0382,95.9209,75.1963,54.0857,0.5564
28.4541,89.6997,23.5097,32.5343,90.9065,0.5047
52.9542,74.2318,59.0745,65.3439,29.9383,0.5036
24.1372,32.2492,15.5442,87.4314,28.3247,0.4195
56.1489,79.1974,78.3824,43.8386,47.6257,0.5715
99.4702,67.4597,81.4638,90.2554,78.7590,0.8895
18.5179,56.2171,10.1894,65.2922,95.5349,0.4715
51.2732,43.2972,3.5843,95.9775,10.3003,0.3567
4.1079,24.6067,6.5530,45.5118,51.6088,0.2435
31.2570,5.0960,11.1600,38.4504,6.0528,0.0528
69.8190,20.7021,30.2072,39.4126,41.6610,0.3976
0.1661,11.2070,86.2765,0.1233,50.8167,0.2887
48.9502,33.3094,43.1327,78.0581,84.1204,0.6164
26.0349,32.2490,24.2483,47.9863,68.3258,0.3034
22.8253,33.0736,93.0385,4.8569,46.0770,0.4578
71.1558,15.0454,4.7374,13.8205,91.8823,0.4343
0.9260,18.8322,3.1284,11.0629,62.0149,0.2545
24.1639,56.9212,59.0195,84.9435,0.4741,0.4484
85.3369,61.9119,16.2743,77.2937,85.5492,0.7034
25.4263,91.8794,45.4457,60.3424,98.4650,0.5696
36.1536,81.3159,31.8399,79.9214,60.0734,0.6143
21.6356,41.4026,31.7636,7.8108,2.9835,0.1726
34.6479,1.9034,16.5488,72.5183,70.8091,0.3103
73.8580,31.7153,89.0019,59.3831,12.6026,0.4769
14.3719,69.3095,17.2944,50.7293,99.1774,0.5020
0.4008,1.6580,99.3085,58.4639,12.6910,0.3038
89.7302,88.0380,53.6200,62.1792,27.3187,0.6606
5.0520,59.4568,29.4755,66.3621,83.6245,0.3975
1.8161,59.5714,23.1281,87.3888,25.3665,0.2882
61.0770,55.3541,39.6167,67.7621,72.5770,0.6614
56.6938,75.8422,98.3417,41.9272,51.4583,0.6937
1.2470,79.6029,52.0230,40.7961,9.4072,0.3137
88.9656,39.5007,68.2582,14.9374,96.1550,0.6155
17.8442,19.9542,85.8983,91.2583,21.2147,0.5233
46.9801,73.3495,87.8366,37.9053,51.7019,0.6165
74.1716,73.1136,78.2960,56.9934,10.4615,0.5935
90.3973,86.5573,79.8097,9.9862,20.4397,0.6291
74.3600,2.3140,97.9225,37.7145,71.9313,0.5319
88.7571,39.4630,31.9132,60.8741,58.0989,0.5598
40.9140,60.1775,93.5381,46.7640,19.6742,0.5212
37.7206,39.4107,13.1109,16.2872,68.4562,0.3363
33.9478,95.4898,24.3597,9.8925,75.3505,0.4586
88.1036,27.8113,20.2088,18.5766,52.2012,0.4174
46.8417,25.9440,4.5173,48.1491,95.9332,0.4445
65.2519,49.5507,11.0692,25.2436,29.4774,0.3088
76.4804,87.6711,90.1642,98.4569,98.2367,0.9421
95.2999,7.1822,13.7794,30.4467,55.2898,0.3552
9.6978,84.5797,61.6756,54.2364,16.5311,0.4425
25.3255,16.0312,85.1933,58.4228,73.5129,0.5022
29.6033,37.1253,40.4855,76.0015,77.2353,0.5388
20.6814,94.1539,12.0655,89.6122,10.0396,0.3471
26.4540,84.6479,17.9492,41.3568,44.9859,0.4753
24.5259,71.0245,85.1335,87.4575,33.9322,0.5703
53.0850,24.8406,24.4797,16.1254,94.0019,0.4861
88.7989,77.7359,51.7662,49.0608,52.9746,0.6168
53.6568,43.4563,13.1755,12.5664,95.2250,0.4337
48.2031,95.3206,16.3577,55.4417,20.7717,0.5679
25.3185,3.0055,11.8953,91.6848,32.1533,0.3142
60.8129,46.5014,40.0451,53.1886,18.7239,0.5005
98.8604,81.8308,74.1615,46.8759,15.2877,0.6360
92.0666,34.1387,5.0107,34.2404,79.4457,0.5106
62.2709,75.0839,79.3635,21.1955,92.3783,0.6641
43.7990,63.9014,0.2309,99.3368,28.0896,0.5131
6.2063,45.8262,12.9030,15.2327,63.2283,0.2525
39.2927,92.1852,31.9156,72.6180,46.1099,0.5150
65.9951,59.9695,47.2784,95.0061,34.2714,0.5731
17.7236,67.8094,84.6008,4.0254,44.9633,0.4432
89.2488,74.9619,99.1808,53.1414,65.9996,0.7540
30.2480,94.7536,36.6335,73.8511,40.3140,0.5871
56.1819,71.9783,50.8934,90.7086,41.9301,0.6886
64.7072,34.2362,40.8157,44.0050,12.5807,0.3439
9.1724,66.7490,65.5518,66.2910,1.9766,0.3828
32.6547,19.7810,77.8151,86.0630,24.6680,0.4102
66.7849,12.9363,27.5153,13.8654,28.3521,0.4004
67.4737,91.0327,20.2522,54.2079,70.1391,0.6214
95.2922,61.0060,25.5107,62.5478,32.0491,0.5768
97.6128,39.9676,68.5428,2.3228,40.0061,0.4299
87.5108,61.0227,44.3943,93.5937,85.3984,0.7438
32.2216,54.4548,48.9824,63.2203,33.4111,0.4900
24.4205,91.2672,92.3874,84.3323,97.8204,0.7678
74.4992,76.4667,76.2590,48.0608,45.6452,0.6956
24.0226,64.4819,28.9320,25.7808,58.5961,0.5192
40.9982,21.8857,81.6056,86.0570,16.7700,0.4473
0.7507,33.6130,79.7511,83.9174,13.8329,0.3726
77.4336,11.5704,39.0063,99.8610,19.2591,0.4504
15.3964,42.2800,61.9669,93.2901,98.0821,0.7023
6.9641,13.7998,79.0738,27.0632,88.4849,0.4829
66.3453,11.1845,83.2529,17.6356,42.3495,0.4348
55.2185,50.0766,68.6163,65.2687,99.2042,0.6786
99.9422,51.6459,9.5199,72.7843,97.6664,0.6223
31.8326,46.1209,42.4777,5.1419,67.2264,0.4301
35.3338,78.7464,83.2120,82.1231,41.6666,0.6232
32.1546,74.8821,80.1389,49.1257,89.3031,0.6382
14.3909,87.9069,9.6095,15.3526,53.3840,0.3917
6.7518,5.2807,0.0519,43.6317,77.4624,0.2570
3.4838,65.2258,82.3127,16.8001,14.6864,0.3533
86.0801,82.3125,53.8942,81.9200,9.2756,0.6275
39.4482,73.7798,25.7452,75.2329,50.4179,0.5690
75.0266,46.4680,36.7904,21.9189,20.8379,0.4844
75.1491,11.8910,8.5982,17.6291,17.5347,0.2909
82.3108,39.8507,99.0388,13.7211,65.3540,0.6407
44.8730,39.2918,87.5084,97.5596,87.2859,0.7030
19.2301,22.0798,65.6074,28.9084,73.4725,0.3832
56.6421,55.0909,82.8547,71.0533,2.6578,0.5693
4.9459,60.1558,48.6192,26.0185,41.8656,0.3718
75.7910,82.6611,56.1223,38.5369,27.0697,0.4892
52.1918,31.4750,56.4095,67.6652,6.6079,0.4123
0.1067,21.2277,89.4511,64.6291,17.1960,0.3811
89.0264,46.9956,47.6092,93.5542,5.9487,0.5407
21.5178,58.5771,19.5487,67.9527,21.4092,0.4521
9.9157,20.6985,42.2734,17.6138,13.4692,0.2319
86.0282,32.0397,36.0759,5.5270,35.7370,0.4595
26.4807,61.0485,20.5390,88.8365,92.9667,0.5929
9.9831,10.7403,11.5326,61.9569,12.1969,0.2169
85.2382,75.4272,81.9809,52.6061,99.6677,0.7430
4.4175,40.1265,32.3937,94.8645,57.6861,0.4596
80.6191,17.0341,97.8634,49.8640,49.3672,0.5901
97.0885,38.0732,39.7525,58.4753,12.8053,0.4240
32.1086,19.3208,10.3283,86.6145,58.9331,0.3876
35.8673,40.8669,43.1519,63.3149,92.6769,0.5356
93.2780,39.1492,32.9262,45.1047,56.7934,0.5552
46.1818,65.8753,55.4399,32.0716,34.5731,0.4914
37.8593,9.4640,16.6063,72.3114,38.9097,0.3212
21.4539,56.2672,75.5540,25.7422,82.6790,0.5468
92.7505,59.7395,66.8948,5.2576,94.5520,0.6293
39.2485,92.3900,57.8978,0.4619,3.8542,0.2442
68.0419,56.2668,2.6532,74.3460,85.2145,0.5488
49.6417,46.5757,0.5473,78.6650,33.0716,0.4710
87.8764,37.3061,56.5078,27.0342,16.0588,0.3655
77.4908,49.6590,53.6488,96.5416,96.3580,0.7530
85.5642,18.7609,59.4273,87.8147,37.4464,0.6573
10.1106,81.0963,48.1764,56.4393,98.2144,0.5500
60.7211,42.4979,36.9984,41.7619,11.8399,0.3877
79.4751,83.7717,28.4397,30.3797,87.4334,0.5538
2.3970,52.0457,46.3676,69.0127,16.3392,0.4537
66.8331,37.6734,61.8715,4.0095,46.1727,0.4290
52.2251,21.4326,13.9624,18.8474,34.4141,0.2841
9.6810,94.7320,40.4994,80.8970,97.4417,0.7142
8.0735,65.1669,87.1409,63.4234,42.9026,0.5665
43.1076,3.5899,53.4601,99.3543,95.8708,0.5470
4.0399,70.5797,30.1765,90.2989,4.5115,0.3668
93.5874,83.7476,11.7504,5.9824,83.4708,0.5818
15.5758,53.4898,91.5745,56.7448,39.7233,0.4830
44.5016,6.3117,96.8752,31.0654,18.9363,0.2895
28.6047,96.4373,9.4286,86.7303,70.7844,0.5813
83.0019,97.5898,84.2155,94.3382,12.6935,0.6697
79.5789,54.5676,54.3496,89.8922,97.1804,0.8320
70.4838,48.2938,45.6404,38.6341,36.1599,0.4873
39.1507,8.9753,7.7436,77.9870,44.6073,0.3117
93.0684,61.2221,3.5176,15.7523,20.5820,0.3534
97.5736,21.8704,51.5756,93.6177,97.7193,0.6302
23.6360,4.9118,15.3602,6.3328,19.5124,0.0845
56.8570,91.2449,53.7219,62.5990,20.1867,0.6200
80.0584,61.7789,86.4137,94.8843,34.7901,0.8274
9.0579,22.5929,43.7842,94.5694,37.8310,0.4520
77.0773,54.0477,18.2809,32.0734,65.3192,0.4890
67.2853,43.4760,22.8646,72.1907,16.8873,0.4238
93.6670,18.7904,10.7312,49.7648,51.9550,0.4020
50.8193,43.6667,99.4815,48.6281,47.7947,0.6838
42.1766,6.6826,59.2957,22.7968,63.7609,0.3800
5.0833,98.1387,46.9005,89.6755,47.5561,0.6805
6.0331,82.2214,64.8184,78.1757,42.8170,0.6178
63.7937,85.6229,63.1065,34.7674,66.2530,0.5400
67.1854,96.0587,37.0912,42.5082,81.2123,0.6148
50.5762,73.6573,45.9709,21.5495,74.5204,0.4991
13.1155,19.8584,62.6825,74.7270,89.4688,0.5157
27.2586,11.0724,95.6047,15.4423,19.7667,0.3353
29.1329,52.9391,88.2826,76.0546,70.8158,0.7843
17.5181,35.7683,47.8405,14.7426,27.3430,0.2326
30.8333,12.7276,55.0240,70.5028,6.9932,0.3636
48.1123,78.2211,74.7990,81.5073,44.8241,0.6858
82.0557,24.0753,36.0811,17.6356,46.7485,0.4131
39.2060,24.0927,75.1781,31.3847,27.2804,0.3998
13.0890,43.8822,30.2965,36.9273,23.5997,0.2433
76.3155,93.0003,49.7932,64.2998,86.7172,0.7456
99.8830,61.3516,88.9779,90.8608,79.1451,0.8660
46.0931,8.1154,1.5806,47.7201,49.4315,0.3223
40.7362,56.8167,55.2163,83.6613,10.8657,0.5231
22.5178,79.3005,84.7837,99.4824,87.2912,0.8174
88.9899,31.4348,40.1662,26.8085,60.6299,0.5429
93.8805,34.4641,55.7002,29.6300,16.9800,0.4649
19.5186,5.7945,94.9294,40.2880,83.4121,0.4293
68.1329,19.1921,17.5462,81.1988,26.4712,0.3951
91.3285,14.0055,67.7709,81.4474,23.5256,0.5452
27.6207,96.4519,26.4598,42.9957,43.2516,0.4862
25.3035,77.5791,77.1849,37.8318,83.5126,0.5789
21.3075,0.4306,57.1167,99.4078,3.8644,0.3175
20.7998,51.8915,80.9941,8.9042,39.5235,0.3448
74.7076,37.1543,18.8836,19.5496,41.0049,0.3000
47.9417,86.1814,64.2252,69.0402,98.2987,0.7196
41.1843,40.3354,92.3347,24.5876,72.9815,0.4694
75.4573,9.7788,46.8231,20.0562,18.5375,0.2913
46.3828,28.9430,79.6060,90.7605,80.2721,0.6322
26.6031,27.4134,25.4728,13.5038,94.3798,0.3080
40.2048,22.4689,84.6671,39.9195,3.5117,0.4005
16.1942,63.9250,78.2905,21.0934,91.7396,0.5795
85.0997,84.8381,22.7661,5.0536,86.7424,0.5415
30.5800,61.8916,75.9967,12.8293,78.0838,0.4969
93.8511,72.8375,44.1223,87.6678,52.7458,0.7293
74.4771,82.0506,74.9353,28.7855,11.7844,0.5084
23.8339,50.2875,50.5277,58.2644,39.5102,0.4057
78.6891,91.3154,24.6725,73.6523,67.7972,0.7321
52.3090,18.8530,79.5232,96.0626,72.1836,0.6821
91.7860,98.4185,35.2051,63.8224,47.3933,0.7033
98.6629,9.3808,41.2375,87.5539,28.4051,0.5768
78.7793,38.2783,97.9979,88.3530,30.1320,0.5682
77.0193,33.6857,60.6363,65.8481,82.9595,0.7080
2.4451,22.0158,71.1918,56.3523,49.5605,0.4227
5.5210,34.8276,86.5100,3.0893,39.6436,0.3897
94.5148,5.0881,74.9706,25.7613,86.6609,0.5933
74.6068,88.5705,21.5925,53.1293,77.9270,0.6341
24.5700,23.0746,2.7182,95.8515,71.0017,0.4207
63.5560,74.3995,53.1613,47.6134,44.9532,0.5857
64.0439,20.1535,88.8059,81.1752,34.9564,0.5627
57.8609,14.1027,97.2346,90.2893,92.1898,0.7467
33.2163,16.9135,21.1772,9.0001,12.0111,0.1053
7.1305,98.9823,7.4058,13.2542,82.7255,0.3919
58.0240,77.4417,63.0912,88.2175,63.8468,0.8035
52.2125,71.2750,44.7393,34.6064,46.7652,0.4679
16.9714,79.6572,26.0704,15.3532,24.6352,0.3134
84.2070,33.0201,68.6050,85.6410,7.7745,0.5144
76.5024,30.7665,21.6622,68.8901,90.9797,0.5944
29.5019,56.8834,28.9834,55.4286,62.1862,0.4292
61.0335,62.3546,13.5080,69.3540,67.4750,0.5382
68.2588,7.4071,44.6839,40.9035,8.6711,0.3823
22.2368,44.0963,74.2906,23.7062,82.9750,0.4597
54.5798,76.0422,47.2556,49.9194,61.9719,0.6190
92.7971,49.1813,52.8658,60.1997,73.7515,0.6987
7.1850,51.5687,48.1592,92.1685,49.3507,0.5496
46.8321,96.2200,45.0576,18.0884,21.6916,0.4628
9.5188,0.0568,43.1946,76.9243,73.3466,0.5681
3.2149,56.9983,15.4283,94.1076,16.7365,0.4257
62.6639,32.6238,64.1561,41.2259,75.9643,0.5695
23.0679,90.5792,50.0210,75.6093,84.9730,0.6047
99.8829,22.3946,28.6892,25.0433,26.2871,0.3997
58.2445,99.3523,99.0278,52.6773,63.9027,0.8177
85.9971,93.2933,20.3861,52.8542,83.2837,0.7571
30.3202,43.9809,98.5621,98.5047,90.6107,0.7979
79.8448,26.9131,32.0850,54.7283,56.0777,0.5386
50.5503,63.6670,40.8323,74.9174,33.3550,0.4639
33.0677,12.7226,18.8712,85.0521,44.6282,0.4130
22.7868,75.9341,55.3981,2.1156,31.6361,0.3137
17.7001,65.5873,27.5031,6.4947,5.4935,0.1712
58.1727,2.1723,84.8792,15.5397,60.6566,0.4548
44.4688,44.2852,7.1797,80.2752,89.3052,0.5572
1.1017,17.8604,90.3904,54.9494,15.0040,0.4038
20.2790,65.9986,72.4817,59.9427,95.3148,0.6529
49.4064,30.0272,47.7233,35.9666,22.4416,0.3977
4.5963,35.2212,71.1409,1.8438,43.9179,0.2642
64.4009,61.0404,77.6648,81.0520,71.1706,0.7054
10.2798,47.5022,60.3406,24.5566,4.2552,0.2185
22.3590,45.4894,41.3930,17.6667,82.4416,0.3185
92.5687,20.1348,92.9573,1.7861,92.4962,0.6369
95.1929,1.2052,76.3019,97.0202,90.5902,0.6830
97.0710,55.0324,7.8156,84.9789,61.3828,0.6562
61.4737,41.7254,57.1842,15.3580,73.9770,0.5549
7.5017,72.9781,84.8978,47.2469,50.9830,0.4962
31.2214,96.9459,73.3124,36.8989,17.4807,0.5412
21.9580,46.3922,94.2568,73.4146,21.5244,0.4820
85.9561,37.8201,85.1722,24.1700,61.8661,0.4977
92.6670,25.7894,69.2927,98.7313,15.0598,0.6092
8.8402,67.4195,33.9736,7.1244,47.5306,0.3062
75.3771,28.5122,33.5047,84.5699,52.0072,0.5259
84.2732,44.6389,95.2975,65.0795,11.5899,0.7005
88.5093,48.9265,14.1639,15.2690,68.7534,0.3950
4.7373,28.6594,13.9788,44.1077,41.4354,0.2850
52.1876,27.9636,3.2044,61.4386,37.3718,0.3146
65.1335,10.8667,1.3777,24.8294,45.6547,0.3411
39.4072,81.0303,37.7838,53.0441,59.3516,0.5562
2.1831,51.5133,34.4831,42.1280,10.0287,0.2996
78.2821,94.2404,2.2269,60.1373,76.3844,0.5753
28.4808,78.7556,63.2355,92.9163,98.1005,0.6847
4.2346,44.4938,54.6988,14.6743,33.6286,0.3498
98.7647,1.6230,45.2508,84.2655,32.3901,0.6131
47.9799,97.8046,47.4877,13.0921,5.1721,0.4471
94.5417,26.5809,50.4064,9.0702,42.3655,0.4011
93.0106,50.2413,97.1135,25.8836,50.4545,0.6504
85.9531,44.8252,27.9487,85.5475,38.9889,0.6879
53.0723,97.6527,18.6483,30.1401,3.1070,0.4104
39.1838,20.0183,68.0035,18.1321,67.4813,0.4987
26.3475,35.5218,34.8861,71.6752,46.6509,0.3931
36.1299,85.2623,57.1951,21.3831,90.0091,0.5779
34.2650,3.8979,49.4600,12.3938,23.8466,0.2787
74.7111,13.0752,80.6944,93.6907,60.6532,0.6655
71.0359,71.3587,99.2808,34.1538,16.2857,0.5459
51.9167,53.3250,17.7912,61.3109,1.4125,0.3310
92.7668,26.4574,3.9560,10.8249,24.0249,0.3655
27.3906,3.2810,27.9355,19.2942,37.8621,0.2911
38.5168,33.9008,32.7924,8.9731,2.5205,0.3090
20.2114,75.6649,99.0810,92.8526,50.4219,0.7667
53.1824,31.4582,77.3939,76.4757,84.4272,0.6526
89.5505,43.4349,76.6876,80.6399,30.8460,0.6268
92.9242,9.4342,99.4269,77.0091,9.3271,0.6438
65.6230,3.4179,77.0187,79.9223,60.2410,0.6081
85.6860,9.7883,27.5924,41.4178,4.2458,0.2883
44.8216,26.5213,39.2735,42.5103,87.9412,0.4305
27.0341,89.3743,42.5971,32.7808,50.2512,0.5087
41.7743,25.7372,50.2679,15.1802,35.1930,0.3274
56.5790,41.3408,82.3912,25.6722,96.9772,0.6046
78.4722,96.7593,83.8137,14.2104,52.6460,0.7054
16.9979,81.8227,58.4162,26.3449,92.9599,0.5910
11.5186,56.3862,72.1041,5.8849,59.7856,0.4779
81.5901,6.7527,51.2243,25.8557,66.2924,0.3669
11.8677,93.7051,89.4729,18.5974,32.3266,0.5046
58.7635,71.8062,44.2656,15.6291,10.4151,0.4365
99.9765,45.5352,87.2532,48.2376,92.2358,0.6701
8.7759,11.4019,92.9632,94.7493,31.4717,0.4460
35.5165,45.2450,41.6162,19.0045,89.8375,0.4204
25.3308,70.5272,6.7156,3.8751,65.3730,0.3447
33.9016,65.5459,9.4021,94.9851,74.8514,0.6388
87.6267,13.6471,32.0161,36.8344,53.7173,0.5488
29.6868,6.0631,36.8878,25.4549,38.5921,0.2327
19.6960,26.1896,62.6952,38.8154,34.5383,0.3902
53.3906,77.1861,37.8868,58.7519,96.6203,0.6756
52.1980,90.9798,79.3673,5.8719,42.9099,0.5620
69.8318,98.6712,45.8376,9.2785,56.2009,0.5796
12.6564,75.1520,50.7677,72.3431,86.9362,0.6109
62.8948,61.2439,75.4570,84.2455,86.9054,0.8259
3.6430,55.6190,21.6269,86.0346,64.8398,0.5187
42.0222,18.8104,33.9024,70.3778,20.4360,0.3181
9.3583,88.8029,76.4210,19.9795,29.2312,0.4874
97.2070,70.8184,61.0522,30.7628,29.9125,0.6241
3.9524,72.8482,4.3175,0.4857,72.9495,0.3249
94.8874,75.6503,47.1640,48.6045,43.6136,0.6764
32.4644,52.1714,43.1151,59.8168,89.8120,0.5642
99.5009,7.8743,38.4683,18.0706,35.2120,0.4083
28.7473,17.4537,76.4076,49.6289,91.9246,0.5344
